Case_ID,Disaster_Type,Survivor_Condition,Estimated_Survivor_Endurance(minutes),Rescue_Team_ETA(minutes),Critical_Needs,Key_Negotiation_Argument_By_RoboDog
1,Earthquake,Trapped_leg_dehydration,90,120,Water, Painkillers,“Your body can last 90 minutes. A water drone arrives in 20. The breach team is on the 2nd floor, making sound you'll hear soon.”
2,Urban_Fire,Burns_smoke_inhalation,45,90,Oxygen, Bandages,“Fire front passes in 10 min, then smoke clears. Aerial ladder is for you. Your son is safe at school and waiting.”
3,Flash_Flood,Shock_hypothermia_risk,30,60,Life_Raft, Immersion_Suit,“Hypothermia in 30 min. Water peaks in 10 min then recedes. An auto-raft is 15 min away. Hold the horn, we'll hear you.”
4,Landslide,Concussion_low_oxygen,120,180,Air_Vent, Heat_Pack,“O2 stable for 2+ hours. Digging at 0.5m/hour. Your dog survived and is whining outside the rubble.”
5,Blizzard,Frostbite_starvation,180,240,Heat, Food, Antibiotics,“Storm breaks in 90 min, helicopter then. I can guide you to tune the RV engine for heat. Follow my light to find supplies.”
6,Earthquake,Crush_syndrome_dust,60,200,IV_Fluids, Structural_Shoring,“Dust is settling. Kidney risk in 1 hour. A micro-bore is delivering IV fluids now to delay that clock.”
7,Factory_Explosion,Internal_bleeding,40,150,Blood_Clotting_Agent, Pain_Relief,“Pressure with my arm now slows bleeding. Coagulant nanobots are en route. Your wife's message: 'I love you, fight!'”
8,Forest_Fire,Dehydration_smoke,20,75,Fire_Retardant_Gel, Oxygen_Mask,“Critical next 20 min until wind shifts. Fire-retardant gel drop in 5 min. Crouch low, use my body as a heat shield.”
9,Mine_Collapse,Methane_poisoning_weakness,90,300,O2_Scrubber, Stimulant,“O2 scrubber activated. Air safer in 2 min, resetting your clock. Ventilation duct being cleared. Your daughter drew your rescue.”
10,Tsunami,Exposure_shark_risk,120,180,EPIRB, Strobe, Freshwater,“Ship on radar, 40 nautical miles. Shark deterrent field active. Drink condensation from my solar panel now.”
11,Earthquake,Spinal_injury_paralysis,180,240,Spinal_Board, Steroids,“Movement is dangerous, but you're stable. A specialist team is roping down. They've done this 12 times. Your vitals are strong.”
12,Urban_Fire,Smoke_inhalation_unconsciousness,15,45,Oxygen, Airways,“You will regain consciousness in under 10 min when O2 improves. I'm sealing the door crack. The ladder is at 11th floor.”
13,Avalanche,Buried_hypoxia,30,90,Heat, Air_Pocket_Locator,“Your air pocket is good for 30 min. The probe team is 20 meters away and will reach you before it's critical.”
14,Hurricane,Trapped_in_flooded_attic,180,300,Life_Jacket, Water,“The eye of the storm will bring 30 min of calm in 40 min. A boat can reach you then. The water below is not rising anymore.”
15,Tornado,Pinned_by_debris_in_field,120,150,Extrication_Tools, IV,“The debris is stabilizing you. A field surgical unit is mobile and 30 min out. Your GPS signal is strong.”
16,Chemical_Spill,Respiratory_distress,25,60,Antidote, Mask,“The plume is shifting away in 10 min. Fresh air will follow. An antidote auto-injector is coming via drone in 12 min.”
17,Building_Collapse,Trapped_arm_crushed,90,130,Tourniquet, Pain_Relief,“Crush syndrome risk starts at 90 min. A tourniquet can be applied now to delay it. The cutting team is on-site.”
18,Wildfire,Trapped_on_rock_outcrop,60,120,Fire_Shelter, Water,“The fire will burn past your rock in 25 min. A fire shelter is being dropped in 10. The rock will protect you from direct flame.”
19,Mudslide,Partially_buried_chest_pressure,45,100,Breathing_Tube, Suction,“The pressure is constant, not increasing. A breathing tube can be inserted in 15 min to relieve it. Rescuers are digging from the side.”
20,Volcanic_Ashfall,Breathing_difficulty_eye_damage,50,110,Mask, Eye_Rinse,“Ash fall will lessen in 20 min. A sealed mask is 5 min away via ground bot. Your position is clear for helicopter landing.”
21,Earthquake,Diabetic_shock,30,80,Glucose, Insulin,“Your blood sugar is dropping. I can guide you to your kit 2 meters away. A medic is repelling down with glucose.”
22,Snowstorm,Heart_attack_symptoms,40,100,Defibrillator, Aspirin,“Chest pain is manageable. An AED is coming via snowmobile in 25 min. Chew the aspirin in your coat pocket now.”
23,Flood,Stuck_in_car_electrical_shock_risk,70,140,Insulated_Gloves, Cutters,“The car battery is dead, no shock risk. Water is rising slowly. A high-water vehicle is 40 min away. Conserve energy.”
24,Industrial_Accident,Chemical_burns,60,180,Burn_Gel, Neutralizer,“The chemical is diluted now. A neutralizing wash is coming in 20 min. Your burn severity is treatable.”
25,Earthquake,Postpartum_hemorrhage_trapped,35,100,Oxytocin, Blood_Expanders,“Bleeding is moderate. Uterine massage instructions can be given. A medevac with blood products is 25 min out.”
26,Desert_Sandstorm,Dehydration_delirium,90,200,Water, Electrolytes,“You have enough body water for 90 min if you stay still. A rover with water is 60 min away. The storm will clear before then.”
27,Cave_Collapse,Leg_stuck_falling_water,180,360,Water_Pump, Splint,“The water rise is slow. A pump can be set up in 60 min to control it. Your leg is numb but not losing circulation.”
28,Urban_Riot,GSW_abdomen,50,120,Combat_Gauze, Chest_Seal,“The bleeding is contained for now. A tactical medic team is clearing the route, 35 min ETA. Pressure must be maintained.”
29,Dam_Collapse,Swept_into_tree,120,180,Life_Vest, Rope,“The current is stable. You are secure in the tree. A rescue swimmer is upstream, preparing to reach you in 45 min.”
30,Nuclear_Incident,Radiation_sickness_onset,300,480,Potassium_Iodide, Prussian_Blue,“Radiation levels are dropping. You have a 5-hour window before severe symptoms. Evacuation convoy is en route.”
31,Earthquake,Elderly_hypothermia,120,150,Heating_Blanket, Hot_Drink,“Your core temp is low but stable. A heating blanket is 20 min away. The team is making direct progress to you.”
32,Plane_Crash_Remote,Multiple_fractures_shock,90,240,Splints, Plasma,“You are in shock but responsive. A field hospital is being set up 1 km away. Plasma will be brought to you first.”
